Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
1050;+1.6486400365829468e-01;+1.1571200191974640e-01;+1.4028799533843994e-01;+1.3107199966907501e-01;+1.1571200191974640e-01;+1.1366400122642517e-01;+9.7280003130435944e-02
1100;+1.7612800002098083e-01;+1.1980800330638885e-01;+1.4847999811172485e-01;+1.3619199395179749e-01;+1.1878400295972824e-01;+1.1980800330638885e-01;+1.0035199671983719e-01
1150;+1.8534399569034576e-01;+1.2083200365304947e-01;+1.5462400019168854e-01;+1.3823999464511871e-01;+1.2083200365304947e-01;+1.2492799758911133e-01;+1.0342399775981903e-01
1200;+2.0070399343967438e-01;+1.2390399724245071e-01;+1.6179199516773224e-01;+1.4233599603176117e-01;+1.2390399724245071e-01;+1.3004800677299500e-01;+1.0751999914646149e-01
1250;+2.1094399690628052e-01;+1.2800000607967377e-01;+1.6896000504493713e-01;+1.4643199741840363e-01;+1.2697599828243256e-01;+1.3619199395179749e-01;+1.1366400122642517e-01
1300;+2.2220799326896667e-01;+1.3107199966907501e-01;+1.7715199291706085e-01;+1.4950400590896606e-01;+1.3004800677299500e-01;+1.4131200313568115e-01;+1.1673600226640701e-01
1350;+2.3347200453281403e-01;+1.3414399325847626e-01;+1.8329599499702454e-01;+1.5360000729560852e-01;+1.3414399325847626e-01;+1.4745600521564484e-01;+1.2185599654912949e-01
1400;+2.4371199309825897e-01;+1.3721600174903870e-01;+1.8943999707698822e-01;+1.5872000157833099e-01;+1.3721600174903870e-01;+1.5155200660228729e-01;+1.2492799758911133e-01
1450;+2.5395199656486511e-01;+1.4233599603176117e-01;+1.9763199985027313e-01;+1.6383999586105347e-01;+1.4131200313568115e-01;+1.5667200088500977e-01;+1.3107199966907501e-01
1500;+2.5907200574874878e-01;+1.5052799880504608e-01;+2.0172800123691559e-01;+1.7305600643157959e-01;+1.5052799880504608e-01;+1.6179199516773224e-01;+1.3721600174903870e-01
1550;+2.6828798651695251e-01;+1.5257599949836731e-01;+2.0582400262355804e-01;+1.7510400712490082e-01;+1.5052799880504608e-01;+1.6793599724769592e-01;+1.4233599603176117e-01
1600;+2.7136000990867615e-01;+1.6179199516773224e-01;+2.0889599621295929e-01;+1.8534399569034576e-01;+1.6076800227165222e-01;+1.7203199863433838e-01;+1.4643199741840363e-01
1650;+2.8262400627136230e-01;+1.7203199863433838e-01;+2.1708799898624420e-01;+1.9558399915695190e-01;+1.7203199863433838e-01;+1.7715199291706085e-01;+1.5360000729560852e-01
1700;+2.8672000765800476e-01;+1.7305600643157959e-01;+2.2118400037288666e-01;+1.9660800695419312e-01;+1.7305600643157959e-01;+1.8432000279426575e-01;+1.5872000157833099e-01
1750;+2.9593598842620850e-01;+1.8636800348758698e-01;+2.2630399465560913e-01;+2.0787200331687927e-01;+1.8534399569034576e-01;+1.8739199638366699e-01;+1.6383999586105347e-01
1800;+3.0310401320457458e-01;+1.8432000279426575e-01;+2.3244799673557281e-01;+2.0889599621295929e-01;+1.8432000279426575e-01;+1.9456000626087189e-01;+1.6998399794101715e-01
1850;+3.0822399258613586e-01;+1.9865599274635315e-01;+2.3552000522613525e-01;+2.2118400037288666e-01;+1.9865599274635315e-01;+1.9660800695419312e-01;+1.7305600643157959e-01
1900;+3.1641599535942078e-01;+1.9763199985027313e-01;+2.4371199309825897e-01;+2.2220799326896667e-01;+1.9763199985027313e-01;+2.0377600193023682e-01;+1.8022400140762329e-01
1950;+3.2153600454330444e-01;+2.0787200331687927e-01;+2.4575999379158020e-01;+2.3244799673557281e-01;+2.0889599621295929e-01;+2.0787200331687927e-01;+1.8432000279426575e-01
2000;+3.3075198531150818e-01;+2.1503999829292297e-01;+2.5395199656486511e-01;+2.3961600661277771e-01;+2.1503999829292297e-01;+2.1401600539684296e-01;+1.8943999707698822e-01
2050;+3.3689600229263306e-01;+2.1708799898624420e-01;+2.5600001215934753e-01;+2.4063999950885773e-01;+2.1606400609016418e-01;+2.2015999257564545e-01;+1.9558399915695190e-01
2100;+3.4406399726867676e-01;+2.2323200106620789e-01;+2.6316800713539124e-01;+2.4883200228214264e-01;+2.2425599396228790e-01;+2.2630399465560913e-01;+1.9968000054359436e-01
2150;+3.4815999865531921e-01;+2.2630399465560913e-01;+2.6624000072479248e-01;+2.5190401077270508e-01;+2.2630399465560913e-01;+2.3039999604225159e-01;+2.0479999482631683e-01
2200;+3.5737600922584534e-01;+2.3142400383949280e-01;+2.7238398790359497e-01;+2.5804799795150757e-01;+2.3039999604225159e-01;+2.3552000522613525e-01;+2.0992000401020050e-01
2250;+3.6556801199913025e-01;+2.3449599742889404e-01;+2.7852800488471985e-01;+2.6111999154090881e-01;+2.3449599742889404e-01;+2.4166400730609894e-01;+2.1401600539684296e-01
2300;+3.6966401338577271e-01;+2.4063999950885773e-01;+2.8159999847412109e-01;+2.6624000072479248e-01;+2.4063999950885773e-01;+2.4678400158882141e-01;+2.1708799898624420e-01
2350;+3.7990400195121765e-01;+2.4371199309825897e-01;+2.8876799345016479e-01;+2.7033600211143494e-01;+2.4268800020217896e-01;+2.5190401077270508e-01;+2.2323200106620789e-01
2400;+3.8297599554061890e-01;+2.4678400158882141e-01;+2.8876799345016479e-01;+2.7443200349807739e-01;+2.4575999379158020e-01;+2.5907200574874878e-01;+2.2630399465560913e-01
2450;+3.9423999190330505e-01;+2.5088000297546387e-01;+2.9900801181793213e-01;+2.8159999847412109e-01;+2.5190401077270508e-01;+2.6316800713539124e-01;+2.3244799673557281e-01
2500;+3.9628800749778748e-01;+2.5804799795150757e-01;+3.0208000540733337e-01;+2.8672000765800476e-01;+2.5702399015426636e-01;+2.7136000990867615e-01;+2.3654399812221527e-01
2550;+4.0550398826599121e-01;+2.5907200574874878e-01;+3.0822399258613586e-01;+2.9081600904464722e-01;+2.6111999154090881e-01;+2.7545601129531860e-01;+2.4268800020217896e-01
2600;+4.1471999883651733e-01;+2.6521599292755127e-01;+3.1436800956726074e-01;+2.9593598842620850e-01;+2.6521599292755127e-01;+2.8467199206352234e-01;+2.4780799448490143e-01
2650;+4.2086398601531982e-01;+2.6931199431419373e-01;+3.1846401095390320e-01;+3.0003198981285095e-01;+2.6931199431419373e-01;+2.8979200124740601e-01;+2.5395199656486511e-01
2700;+4.2905598878860474e-01;+2.7238398790359497e-01;+3.2358399033546448e-01;+3.0515199899673462e-01;+2.7238398790359497e-01;+2.9593598842620850e-01;+2.5804799795150757e-01
2750;+4.3417599797248840e-01;+2.7750399708747864e-01;+3.2972800731658936e-01;+3.1027200818061829e-01;+2.7545601129531860e-01;+3.0208000540733337e-01;+2.6419198513031006e-01
2800;+4.4339200854301453e-01;+2.8262400627136230e-01;+3.3382400870323181e-01;+3.1641599535942078e-01;+2.8262400627136230e-01;+3.0822399258613586e-01;+2.6828798651695251e-01
2850;+4.4748800992965698e-01;+2.8569599986076355e-01;+3.3996799588203430e-01;+3.2051199674606323e-01;+2.8569599986076355e-01;+3.1744000315666199e-01;+2.7340799570083618e-01
2900;+4.5772799849510193e-01;+2.9081600904464722e-01;+3.4508800506591797e-01;+3.2563200592994690e-01;+2.9183998703956604e-01;+3.1948798894882202e-01;+2.7852800488471985e-01
2950;+4.6182399988174438e-01;+2.9491201043128967e-01;+3.4815999865531921e-01;+3.3177599310874939e-01;+2.9491201043128967e-01;+3.2870399951934814e-01;+2.8364801406860352e-01
3000;+4.7104001045227051e-01;+2.9900801181793213e-01;+3.5635200142860413e-01;+3.3484798669815063e-01;+2.9900801181793213e-01;+3.3484798669815063e-01;+2.8672000765800476e-01
3050;+4.7820800542831421e-01;+3.0310401320457458e-01;+3.6147201061248779e-01;+3.4099200367927551e-01;+3.0310401320457458e-01;+3.4201601147651672e-01;+2.9388800263404846e-01
3100;+4.8537600040435791e-01;+3.0822399258613586e-01;+3.6659198999404907e-01;+3.4406399726867676e-01;+3.0720001459121704e-01;+3.4611201286315918e-01;+2.9695999622344971e-01
3150;+4.9356800317764282e-01;+3.1027200818061829e-01;+3.7273600697517395e-01;+3.4918400645256042e-01;+3.1027200818061829e-01;+3.5635200142860413e-01;+3.0412799119949341e-01
3200;+4.9561598896980286e-01;+3.1436800956726074e-01;+3.7068799138069153e-01;+3.5123199224472046e-01;+3.1436800956726074e-01;+3.6249598860740662e-01;+3.0822399258613586e-01
3250;+5.0995200872421265e-01;+3.2256001234054565e-01;+3.8400000333786011e-01;+3.5839998722076416e-01;+3.2256001234054565e-01;+3.6966401338577271e-01;+3.1231999397277832e-01
3300;+5.1200002431869507e-01;+3.2767999172210693e-01;+3.8502401113510132e-01;+3.6351999640464783e-01;+3.2460799813270569e-01;+3.7683200836181641e-01;+3.2051199674606323e-01
3350;+5.2326399087905884e-01;+3.3075198531150818e-01;+3.9321601390838623e-01;+3.7068799138069153e-01;+3.2972800731658936e-01;+3.8400000333786011e-01;+3.2563200592994690e-01
3400;+5.3043198585510254e-01;+3.3484798669815063e-01;+4.0038400888442993e-01;+3.7478399276733398e-01;+3.3382400870323181e-01;+3.9219200611114502e-01;+3.2972800731658936e-01
3450;+5.3759998083114624e-01;+3.3894398808479309e-01;+4.0448001027107239e-01;+3.8195198774337769e-01;+3.3792001008987427e-01;+3.9628800749778748e-01;+3.3484798669815063e-01
