Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
323000000;0.0000000000000000e+00;1.3828533258633061e-06;1.9070271379712038e-15;3.2764196448365639e-08;3.0456030295709716e-15;1.1161601716361137e-06
325000000;0.0000000000000000e+00;1.4791132974700008e-06;2.6510495456660602e-15;3.6376637275505634e-08;3.9535645211744012e-15;1.1014717682605408e-06
327000000;0.0000000000000000e+00;2.0971439870557989e-06;1.4641135271130166e-15;4.8239445598488327e-08;1.9304519263331577e-15;1.4081314524052113e-06
329000000;0.0000000000000000e+00;1.2628630129675690e-06;3.0377588377594588e-15;5.3430864604029359e-08;4.7008350486889780e-15;1.6215131238465645e-06
331000000;0.0000000000000000e+00;1.9666768963793947e-06;3.6822089944102150e-15;6.8455471539235813e-08;6.3883957154613308e-15;2.2148234557631725e-06
333000000;0.0000000000000000e+00;1.4195808706704422e-06;2.4715568827640764e-15;4.8710193737196236e-08;1.9219261494744644e-15;1.4785256299852090e-06
335000000;0.0000000000000000e+00;1.5527255086562017e-06;1.6017268084150572e-15;5.4255956617675151e-08;2.7971898020770045e-15;1.5198889998527028e-06
337000000;0.0000000000000000e+00;1.5113784080342475e-06;1.5236065973319680e-15;4.3222237688024615e-08;2.0513951889237407e-15;1.3346557740819231e-06
339000000;0.0000000000000000e+00;1.5017514790193594e-06;2.1319622402556454e-15;3.8874290704728905e-08;3.2889150976051823e-15;1.3245570178524030e-06
341000000;0.0000000000000000e+00;2.1699152268211329e-06;2.1756629884305989e-15;4.5411703183581935e-08;5.1833405913804469e-15;1.4480150347885581e-06
343000000;0.0000000000000000e+00;2.1452378318405865e-06;3.6236776345767518e-15;4.6458714160784761e-08;4.8523462327413247e-15;1.4986170174348393e-06
345000000;0.0000000000000000e+00;1.1692654016796418e-06;2.0244349802545101e-15;4.2932529718011258e-08;3.3935411151803728e-15;1.3713823529318377e-06
347000000;0.0000000000000000e+00;2.2407006173109445e-06;2.4849236774956016e-15;4.9134899152948952e-08;3.2359780157670305e-15;1.5053084960597943e-06
349000000;0.0000000000000000e+00;1.5847624389195847e-06;3.4978777153031979e-15;5.3739964063648139e-08;4.6421328917775054e-15;1.8946285857419575e-06
351000000;0.0000000000000000e+00;1.9294539884751972e-06;2.8460145258256662e-15;8.5258331541094286e-08;4.8929594989615394e-15;2.3752940349495668e-06
353000000;0.0000000000000000e+00;1.6247547598063294e-06;1.9917481262608009e-15;7.7521195920372252e-08;6.2582929097080249e-15;2.9466671431652773e-06
355000000;0.0000000000000000e+00;5.3596351589296747e-06;9.2574149357749255e-15;1.2891272176125845e-07;4.6364716866254714e-15;4.5792110305639068e-06
357000000;0.0000000000000000e+00;3.5186727699810624e-06;3.2726688826118066e-15;7.7050396690376797e-08;7.3317481121648769e-15;2.9533624367596048e-06
359000000;0.0000000000000000e+00;3.3180997776096723e-06;5.2479347314403275e-15;7.0293185524238924e-08;6.2668058299460345e-15;2.4210560293195581e-06
361000000;0.0000000000000000e+00;1.9974167956965725e-06;2.6125394555550257e-15;8.5460721297848251e-08;9.3293870469671435e-15;2.9339491737069184e-06
363000000;0.0000000000000000e+00;3.5987861280679988e-06;4.5015976153708167e-15;7.2099635450249406e-08;7.5758895195237420e-15;2.9029998997454179e-06
365000000;0.0000000000000000e+00;2.4626629588150166e-06;3.8472572588260778e-15;9.8451552573301257e-08;7.6839501402824853e-15;3.4702516259046445e-06
367000000;0.0000000000000000e+00;1.4124512968083919e-05;1.2223528239956211e-14;1.9456581167521983e-07;2.4987041692702682e-14;6.3897019660717866e-06
369000000;0.0000000000000000e+00;1.0464092145985480e-05;1.8543624094905956e-14;2.9002466393613248e-07;2.1487231215403947e-14;9.3450658323100838e-06
