Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
4950;+4.8831999301910400e-01;+6.7644798755645752e-01;+5.6105601787567139e-01;+5.1712000370025635e-01;+6.7919999361038208e-01;+6.3692802190780640e-01;+5.6086397171020508e-01
5000;+4.9417600035667419e-01;+6.8307197093963623e-01;+5.6614398956298828e-01;+5.2022397518157959e-01;+6.8691200017929077e-01;+6.4675199985504150e-01;+5.6723201274871826e-01
5050;+4.9555200338363647e-01;+6.8687999248504639e-01;+5.6966400146484375e-01;+5.2348798513412476e-01;+6.8905597925186157e-01;+6.5228801965713501e-01;+5.7132798433303833e-01
5100;+5.0396800041198730e-01;+6.9590401649475098e-01;+5.7769602537155151e-01;+5.2943998575210571e-01;+7.0012801885604858e-01;+6.6742402315139771e-01;+5.7929599285125732e-01
5150;+5.0761598348617554e-01;+6.9977599382400513e-01;+5.8259201049804688e-01;+5.3446400165557861e-01;+7.0380800962448120e-01;+6.7129600048065186e-01;+5.8534401655197144e-01
5200;+5.1382398605346680e-01;+7.0790398120880127e-01;+5.8908802270889282e-01;+5.4083198308944702e-01;+7.1155202388763428e-01;+6.8383997678756714e-01;+5.9200000762939453e-01
5250;+5.2003198862075806e-01;+7.1721601486206055e-01;+5.9564799070358276e-01;+5.4643201828002930e-01;+7.1983999013900757e-01;+6.9279998540878296e-01;+6.0147202014923096e-01
5300;+5.2691197395324707e-01;+7.2179198265075684e-01;+5.9916800260543823e-01;+5.4992002248764038e-01;+7.2678399085998535e-01;+7.0556801557540894e-01;+6.0508799552917480e-01
5350;+5.3206402063369751e-01;+7.2892802953720093e-01;+6.0422402620315552e-01;+5.5603200197219849e-01;+7.3315197229385376e-01;+7.1785598993301392e-01;+6.1871999502182007e-01
5400;+5.3545600175857544e-01;+7.3484802246093750e-01;+6.1315202713012695e-01;+5.6118398904800415e-01;+7.3948800563812256e-01;+7.2207999229431152e-01;+6.1632001399993896e-01
5450;+5.4019200801849365e-01;+7.4368000030517578e-01;+6.1753600835800171e-01;+5.6415998935699463e-01;+7.4639999866485596e-01;+7.3766398429870605e-01;+6.2777602672576904e-01
5500;+5.4659199714660645e-01;+7.4985599517822266e-01;+6.2441599369049072e-01;+5.6953597068786621e-01;+7.5033599138259888e-01;+7.4028801918029785e-01;+6.3123202323913574e-01
5550;+5.5318397283554077e-01;+7.5612801313400269e-01;+6.2694400548934937e-01;+5.7523202896118164e-01;+7.5967997312545776e-01;+7.5068801641464233e-01;+6.3606399297714233e-01
5600;+5.5526399612426758e-01;+7.6243197917938232e-01;+6.3251197338104248e-01;+5.7945597171783447e-01;+7.6624000072479248e-01;+7.5500798225402832e-01;+6.4815998077392578e-01
5650;+5.6284797191619873e-01;+7.6617598533630371e-01;+6.4112001657485962e-01;+5.8726400136947632e-01;+7.7241599559783936e-01;+7.6863998174667358e-01;+6.5526401996612549e-01
5700;+5.6905597448348999e-01;+7.7929598093032837e-01;+6.4659202098846436e-01;+5.9056001901626587e-01;+7.8044801950454712e-01;+7.8031998872756958e-01;+6.6671997308731079e-01
5750;+5.7244801521301270e-01;+7.8192001581192017e-01;+6.5305602550506592e-01;+5.9523200988769531e-01;+7.8659200668334961e-01;+7.7638399600982666e-01;+6.6604799032211304e-01
5800;+5.8108800649642944e-01;+7.8998398780822754e-01;+6.5980798006057739e-01;+6.0288000106811523e-01;+7.9536002874374390e-01;+7.9417598247528076e-01;+6.7708802223205566e-01
5850;+5.8457601070404053e-01;+7.9648000001907349e-01;+6.6585600376129150e-01;+6.0758399963378906e-01;+8.0028802156448364e-01;+8.0111998319625854e-01;+6.7817598581314087e-01
5900;+5.8953601121902466e-01;+8.0374401807785034e-01;+6.7177599668502808e-01;+6.1119997501373291e-01;+8.0729597806930542e-01;+8.1478399038314819e-01;+6.9398397207260132e-01
5950;+5.9411197900772095e-01;+8.1103998422622681e-01;+6.7657601833343506e-01;+6.1555200815200806e-01;+8.1289601325988770e-01;+8.2025599479675293e-01;+6.9494402408599854e-01
6000;+6.0137599706649780e-01;+8.1727999448776245e-01;+6.8361598253250122e-01;+6.2095999717712402e-01;+8.2249599695205688e-01;+8.3260798454284668e-01;+7.0230400562286377e-01
6050;+6.0691201686859131e-01;+8.2400000095367432e-01;+6.8595200777053833e-01;+6.2624001502990723e-01;+8.2815998792648315e-01;+8.4857600927352905e-01;+7.1113598346710205e-01
6100;+6.1190402507781982e-01;+8.2803201675415039e-01;+6.9334399700164795e-01;+6.2713599205017090e-01;+8.3507198095321655e-01;+8.5932797193527222e-01;+7.1929597854614258e-01
6150;+6.1791998147964478e-01;+8.3747202157974243e-01;+7.0076799392700195e-01;+6.3654398918151855e-01;+8.4284800291061401e-01;+8.7590402364730835e-01;+7.2595202922821045e-01
6200;+6.2198400497436523e-01;+8.4387201070785522e-01;+7.0563197135925293e-01;+6.3916802406311035e-01;+8.4598398208618164e-01;+8.7318402528762817e-01;+7.3129600286483765e-01
6250;+6.2976002693176270e-01;+8.5020798444747925e-01;+7.1104001998901367e-01;+6.4671999216079712e-01;+8.5519999265670776e-01;+8.8911998271942139e-01;+7.4060797691345215e-01
6300;+6.3455998897552490e-01;+8.5849601030349731e-01;+7.1587198972702026e-01;+6.4966398477554321e-01;+8.6028802394866943e-01;+8.9078402519226074e-01;+7.4185597896575928e-01
6350;+6.4147198200225830e-01;+8.6268800497055054e-01;+7.2345602512359619e-01;+6.5824002027511597e-01;+8.6796802282333374e-01;+9.0265601873397827e-01;+7.4953597784042358e-01
6400;+6.4480000734329224e-01;+8.6816000938415527e-01;+7.2940802574157715e-01;+6.6220802068710327e-01;+8.7497597932815552e-01;+9.0147197246551514e-01;+7.5859200954437256e-01
6450;+6.5145599842071533e-01;+8.7817597389221191e-01;+7.3452800512313843e-01;+6.6953599452972412e-01;+8.8208001852035522e-01;+9.3007999658584595e-01;+7.6819199323654175e-01
6500;+6.6073602437973022e-01;+8.8601601123809814e-01;+7.3942399024963379e-01;+6.7529600858688354e-01;+8.8672000169754028e-01;+9.4118398427963257e-01;+7.8108799457550049e-01
6550;+6.6425597667694092e-01;+8.8924801349639893e-01;+7.4534398317337036e-01;+6.7817598581314087e-01;+8.9590400457382202e-01;+9.4883197546005249e-01;+7.7782398462295532e-01
6600;+6.6969597339630127e-01;+8.9878398180007935e-01;+7.5478398799896240e-01;+6.8153601884841919e-01;+9.0319997072219849e-01;+9.6230399608612061e-01;+7.8739202022552490e-01
6650;+6.7644798755645752e-01;+9.0329599380493164e-01;+7.6211202144622803e-01;+6.8806397914886475e-01;+9.0697598457336426e-01;+9.7763198614120483e-01;+7.9692798852920532e-01
6700;+6.8140798807144165e-01;+9.1104000806808472e-01;+7.6620799303054810e-01;+6.9244801998138428e-01;+9.1887998580932617e-01;+9.5401597023010254e-01;+8.0547201633453369e-01
6750;+6.8819200992584229e-01;+9.1308802366256714e-01;+7.7235198020935059e-01;+6.9702398777008057e-01;+9.2563199996948242e-01;+9.9635201692581177e-01;+8.1116801500320435e-01
6800;+6.9190400838851929e-01;+9.2652797698974609e-01;+7.7862399816513062e-01;+7.0649600028991699e-01;+9.3011200428009033e-01;+1.0076160430908203e+00;+8.1840002536773682e-01
